# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.628856163010398e+06	1.113773224134062e-01	5.778201737905557e-04	1.628855994372945e+05	8.898742976241178e+04	2.014070311102801e+01	1.236109741896816e-05	1.000000000000000e-01
1.629483853222375e+06	1.113767034662415e-01	5.805048968236713e-04	1.629483684347329e+05	8.905019796321591e+04	2.014846205090300e+01	1.236109741914113e-05	1.000000000000000e-01
1.630111543434352e+06	1.113762512109463e-01	5.832093900132979e-04	1.630111374319098e+05	8.911296646338099e+04	2.015622099077768e+01	1.236109741932462e-05	1.000000000000000e-01
1.630739233646329e+06	1.113759668330659e-01	5.859226391261709e-04	1.630739064289210e+05	8.917573525978233e+04	2.016397993065193e+01	1.236109741950693e-05	1.000000000000000e-01
1.631366923858305e+06	1.113758508355362e-01	5.886337877208717e-04	1.631366754258629e+05	8.923850434814989e+04	2.017173887052571e+01	1.236109741968324e-05	1.000000000000000e-01
1.631994614070282e+06	1.113759030628118e-01	5.913321773550580e-04	1.631994444228314e+05	8.930127372315373e+04	2.017949781039907e+01	1.236109741984760e-05	1.000000000000000e-01
1.632622304282259e+06	1.113761226754208e-01	5.940073822270391e-04	1.632622134199220e+05	8.936404337848870e+04	2.018725675027160e+01	1.236109742001927e-05	1.000000000000000e-01
1.633249994494236e+06	1.113765082135395e-01	5.966492437071558e-04	1.633249824172299e+05	8.942681330695629e+04	2.019501569014411e+01	1.236109742019965e-05	1.000000000000000e-01
1.633877684706213e+06	1.113770575144870e-01	5.992478998623800e-04	1.633877514148484e+05	8.948958350054863e+04	2.020277463001625e+01	1.236109742036776e-05	1.000000000000000e-01
1.634505374918190e+06	1.113777678536571e-01	6.017938129553658e-04	1.634505204128696e+05	8.955235395052219e+04	2.021053356988751e+01	1.236109742054180e-05	1.000000000000000e-01
1.635133065130167e+06	1.113786357988168e-01	6.042777933003176e-04	1.635132894113836e+05	8.961512464747175e+04	2.021829250975842e+01	1.236109742071534e-05	1.000000000000000e-01
1.635760755342144e+06	1.113796573443005e-01	6.066910221916000e-04	1.635760584104782e+05	8.967789558140123e+04	2.022605144962872e+01	1.236109742088847e-05	1.000000000000000e-01
1.636388445554120e+06	1.113808279029144e-01	6.090250716973760e-04	1.636388274102386e+05	8.974066674179008e+04	2.023381038949817e+01	1.236109742105488e-05	1.000000000000000e-01
1.637016135766097e+06	1.113821422987794e-01	6.112719213585392e-04	1.637015964107469e+05	8.980343811765176e+04	2.024156932936719e+01	1.236109742123124e-05	1.000000000000000e-01
1.637643825978074e+06	1.113835947915856e-01	6.134239732676112e-04	1.637643654120822e+05	8.986620969759110e+04	2.024932826923606e+01	1.236109742140461e-05	1.000000000000000e-01
1.638271516190051e+06	1.113851791678584e-01	6.154740674219161e-04	1.638271344143200e+05	8.992898146985726e+04	2.025708720910407e+01	1.236109742157888e-05	1.000000000000000e-01
1.638899206402028e+06	1.113868886697581e-01	6.174154909999790e-04	1.638899034175316e+05	8.999175342239115e+04	2.026484614897100e+01	1.236109742174856e-05	1.000000000000000e-01
1.639526896614005e+06	1.113887160863778e-01	6.192419901493714e-04	1.639526724217846e+05	9.005452554286891e+04	2.027260508883751e+01	1.236109742191893e-05	1.000000000000000e-01
1.640154586825982e+06	1.113906537699949e-01	6.209477779876791e-04	1.640154414271419e+05	9.011729781874275e+04	2.028036402870319e+01	1.236109742208771e-05	1.000000000000000e-01
1.640782277037959e+06	1.113926936449320e-01	6.225275430080371e-04	1.640782104336622e+05	9.018007023727681e+04	2.028812296856850e+01	1.236109742224975e-05	1.000000000000000e-01
1.641409967249935e+06	1.113948273118019e-01	6.239764525991376e-04	1.641409794413990e+05	9.024284278557728e+04	2.029588190843310e+01	1.236109742241587e-05	1.000000000000000e-01
1.642037657461912e+06	1.113970459753536e-01	6.252901612646775e-04	1.642037484504008e+05	9.030561545062592e+04	2.030364084829678e+01	1.236109742259320e-05	1.000000000000000e-01
1.642665347673889e+06	1.113993405584967e-01	6.264648126964247e-04	1.642665174607113e+05	9.036838821930526e+04	2.031139978815910e+01	1.236109742274500e-05	1.000000000000000e-01
1.643293037885866e+06	1.114017017406004e-01	6.274970424884973e-04	1.643292864723685e+05	9.043116107842045e+04	2.031915872802145e+01	1.236109742291373e-05	1.000000000000000e-01
1.643920728097843e+06	1.114041199399558e-01	6.283839810828563e-04	1.643920554854048e+05	9.049393401472356e+04	2.032691766788327e+01	1.236109742308698e-05	1.000000000000000e-01
1.644548418309820e+06	1.114065854051671e-01	6.291232558100589e-04	1.644548244998477e+05	9.055670701493185e+04	2.033467660774477e+01	1.236109742325502e-05	1.000000000000000e-01
1.645176108521797e+06	1.114090882356890e-01	6.297129907172261e-04	1.645175935157184e+05	9.061948006574658e+04	2.034243554760575e+01	1.236109742341950e-05	1.000000000000000e-01
1.645803798733774e+06	1.114116183849143e-01	6.301518056485316e-04	1.645803625330325e+05	9.068225315386923e+04	2.035019448746603e+01	1.236109742359264e-05	1.000000000000000e-01
1.646431488945751e+06	1.114141658004613e-01	6.304388173155939e-04	1.646431315518000e+05	9.074502626601719e+04	2.035795342732602e+01	1.236109742376900e-05	1.000000000000000e-01
1.647059179157727e+06	1.114167203436908e-01	6.305736368243795e-04	1.647059005720253e+05	9.080779938893723e+04	2.036571236718511e+01	1.236109742392290e-05	1.000000000000000e-01
1.647686869369704e+06	1.114192719151002e-01	6.305563685776995e-04	1.647686695937064e+05	9.087057250942153e+04	2.037347130704360e+01	1.236109742407595e-05	1.000000000000000e-01
1.648314559581681e+06	1.114218104379149e-01	6.303876065775819e-04	1.648314386168364e+05	9.093334561432037e+04	2.038123024690210e+01	1.236109742423012e-05	1.000000000000000e-01
1.648942249793658e+06	1.114243259620486e-01	6.300684327648770e-04	1.648942076414016e+05	9.099611869055651e+04	2.038898918675990e+01	1.236109742437428e-05	1.000000000000000e-01
1.649569940005635e+06	1.114268086334727e-01	6.296004118373724e-04	1.649569766673841e+05	9.105889172513809e+04	2.039674812661740e+01	1.236109742452704e-05	1.000000000000000e-01
1.650197630217612e+06	1.114292487880238e-01	6.289855883662850e-04	1.650197456947593e+05	9.112166470517503e+04	2.040450706647488e+01	1.236109742468518e-05	1.000000000000000e-01
1.650825320429589e+06	1.114316369511914e-01	6.282264810898463e-04	1.650825147234975e+05	9.118443761789308e+04	2.041226600633181e+01	1.236109742484174e-05	1.000000000000000e-01
1.651453010641566e+06	1.114339638829647e-01	6.273260766208884e-04	1.651452837535643e+05	9.124721045065235e+04	2.042002494618870e+01	1.236109742500022e-05	1.000000000000000e-01
1.652080700853542e+06	1.114362206230122e-01	6.262878246845575e-04	1.652080527849195e+05	9.130998319096155e+04	2.042778388604563e+01	1.236109742515859e-05	1.000000000000000e-01
